Date,Open,High,Low,Close,Adj_Close,Volume
2000/5/17,4.125,,3.953125,4.0,4.0,2517200.0
2000/5/18,4.0,4.03125,3.859375,3.890625,3.890625,2078800.0
2000/5/19,3.890625,3.90625,3.828125,3.828125,3.828125,630400.0
2000/5/22,3.859375,,3.828125,3.890625,3.890625,629600.0
2000/5/23,3.875,4.0,3.875,3.90625,3.90625,867200.0
2000/5/24,3.90625,4.1875,,4.109375,4.109375,2265600.0
2000/5/25,4.078125,4.40625,4.078125,4.328125,4.328125,3015200.0
2000/5/26,4.359375,4.53125,4.328125,4.5,4.5,2294000.0
2000/5/30,4.5,4.953125,4.5,4.9375,4.9375,3808800.0
2000/5/31,4.9375,5.15625,4.9375,5.078125,,3260000.0
2000/6/1,5.015625,5.0625,4.84375,4.96875,4.96875,1439200.0
2000/6/2,4.96875,5.03125,4.640625,4.796875,4.796875,1328000.0
2000/6/5,4.734375,4.734375,4.515625,4.53125,4.53125,2012800.0
2000/6/6,4.5625,4.5625,4.203125,4.28125,4.28125,3908800.0
2000/6/7,4.375,4.65625,4.375,4.625,4.625,2362400.0
2000/6/8,4.5625,4.625,,,,1389600.0
2000/6/9,4.59375,4.75,,4.625,4.625,1259200.0
2000/6/12,4.65625,4.734375,4.59375,4.65625,4.65625,828800.0
2000/6/13,,4.640625,4.546875,4.59375,4.59375,917200.0
2000/6/14,4.65625,4.65625,4.546875,4.609375,4.609375,1511600.0
2000/6/15,4.609375,4.65625,,4.578125,4.578125,
2000/6/16,4.59375,,4.46875,4.5,4.5,1062000.0
2000/6/19,,4.59375,,4.53125,4.53125,1400800.0
2000/6/20,4.5,4.515625,4.40625,4.453125,4.453125,1800000.0
2000/6/21,4.484375,4.75,4.453125,4.75,4.75,1013600.0
2000/6/22,4.6875,5.15625,4.578125,,4.859375,1576000.0
2000/6/23,4.890625,,4.890625,,4.96875,3058400.0
2000/6/26,5.0,5.0625,4.8125,4.96875,4.96875,2096400.0
2000/6/27,4.96875,5.0078,,4.78125,4.78125,
2000/6/28,4.6875,5.125,4.53125,,5.109375,1966800.0
2000/6/29,5.140625,5.25,5.0625,5.0625,5.0625,
2000/6/30,5.078125,5.125,4.621075,4.6289,4.6289,3830800.0
2000/7/3,4.71875,5.1875,4.71875,,5.140625,1035200.0
2000/7/5,5.140625,5.1875,4.90625,4.921875,4.921875,665600.0
2000/7/6,4.953125,,4.953125,5.0625,,660000.0
2000/7/7,5.125,5.15625,5.0,5.125,5.125,1048400.0
2000/7/10,5.140625,5.34375,5.140625,,5.3125,1723600.0
2000/7/11,,5.578125,5.34375,5.5,5.5,2323200.0
2000/7/12,5.5625,5.8125,5.453125,5.53125,5.53125,1302400.0
2000/7/13,5.5,,5.5,5.8125,5.8125,2296400.0
2000/7/14,5.875,,5.671875,5.734375,,1480400.0
2000/7/17,5.796875,5.8125,5.640625,5.703125,5.703125,1066400.0
2000/7/18,5.8125,6.0,5.8125,5.96875,5.96875,1789200.0
2000/7/19,6.03125,6.375,6.0,6.046875,,1901600.0
2000/7/20,6.09375,,5.9375,6.015625,6.015625,734400.0
2000/7/21,5.984375,6.25,5.90625,6.21875,6.21875,1531600.0
2000/7/24,6.234375,6.234375,6.125,6.1875,6.1875,896000.0
2000/7/25,6.1875,6.25,6.125,6.125,6.125,931200.0
2000/7/26,6.125,6.125,5.921875,5.984375,5.984375,859200.0
2000/7/27,5.921875,5.984375,5.71875,5.875,5.875,804800.0
2000/7/28,5.84375,5.875,5.71875,5.765625,5.765625,626000.0
2000/7/31,5.75,5.8125,5.40625,5.453125,5.453125,1100400.0
2000/8/1,5.4375,5.671875,5.4375,5.65625,,873200.0
2000/8/2,5.65625,5.765625,5.65625,5.703125,,1701600.0
2000/8/3,5.625,5.796875,,5.78125,5.78125,1846800.0
2000/8/4,5.71875,5.828125,5.625,5.75,5.75,478000.0
2000/8/7,5.75,5.8125,5.65625,5.65625,5.65625,288000.0
2000/8/8,,5.6875,5.5,5.625,5.625,224000.0
2000/8/9,5.59375,5.625,5.4375,5.53125,5.53125,565600.0
2000/8/10,5.46875,5.5,5.3125,5.421875,5.421875,654000.0
2000/8/11,5.46875,5.671875,5.46875,5.609375,5.609375,502400.0
2000/8/14,5.578125,5.671875,5.578125,5.640625,5.640625,371200.0
2000/8/15,5.640625,5.71875,,5.703125,5.703125,502000.0
2000/8/16,5.703125,5.734375,5.65625,5.71875,5.71875,661600.0
2000/8/17,5.6875,5.734375,5.65625,5.6875,5.6875,569200.0
2000/8/18,5.65625,5.71875,5.5625,5.625,5.625,562000.0
2000/8/21,5.625,,5.625,5.796875,5.796875,691200.0
2000/8/22,5.75,5.765625,5.640625,5.71875,,326800.0
2000/8/23,5.71875,5.734375,5.640625,5.71875,5.71875,220000.0
2000/8/24,5.6875,5.71875,,5.6875,5.6875,708400.0
2000/8/25,5.6875,5.71875,5.625,5.671875,5.671875,272000.0
2000/8/28,5.65625,5.78125,5.640625,5.734375,5.734375,547600.0
2000/8/29,5.71875,5.984375,5.703125,5.984375,5.984375,540800.0
2000/8/30,5.953125,6.1875,5.921875,6.09375,6.09375,740400.0
2000/8/31,6.4375,6.59375,6.4375,6.5625,6.5625,2637600.0
2000/9/1,6.34375,6.40625,5.5625,5.65625,5.65625,4447200.0
2000/9/5,5.65625,5.8125,,5.65625,5.65625,2281200.0
2000/9/6,5.703125,5.71875,5.421875,5.609375,5.609375,1290800.0
2000/9/7,5.625,,5.5625,5.65625,5.65625,779600.0
2000/9/8,5.703125,5.703125,5.46875,,,540400.0
2000/9/11,5.59375,5.59375,5.53125,5.578125,5.578125,264400.0
2000/9/12,5.625,5.625,5.359375,5.5625,5.5625,376000.0
2000/9/13,5.5625,5.5625,5.15625,5.25,5.25,1355200.0
2000/9/14,5.3125,5.375,5.21875,5.34375,5.34375,587200.0
2000/9/15,5.1875,5.265625,5.15625,5.21875,5.21875,889200.0
2000/9/18,,5.21875,4.84375,4.9375,,1698000.0
2000/9/19,4.953125,5.0625,4.90625,4.96875,4.96875,1422000.0
2000/9/20,5.0,5.0625,4.953125,5.046875,5.046875,334400.0
2000/9/21,5.0,5.09375,4.9375,,4.96875,1654400.0
2000/9/22,4.90625,5.0625,4.84375,5.0625,5.0625,623600.0
2000/9/25,,5.140625,5.015625,5.109375,5.109375,689600.0
2000/9/26,5.0625,5.1875,5.046875,5.15625,5.15625,1197600.0
2000/9/27,,5.296875,5.109375,5.125,5.125,1644000.0
2000/9/28,5.109375,,5.109375,5.25,5.25,1603200.0
2000/9/29,5.25,5.53125,5.15625,5.453125,5.453125,1176400.0
2000/10/2,5.40625,5.4375,5.046875,5.046875,5.046875,811600.0
2000/10/3,5.078125,5.21875,4.984375,5.03125,5.03125,1052400.0
2000/10/4,4.96875,5.046875,4.90625,4.984375,4.984375,984000.0
2000/10/5,5.0,5.375,4.984375,5.140625,5.140625,
2000/10/6,5.125,5.28125,,5.28125,5.28125,1090800.0
2000/10/9,5.25,5.28125,5.0625,5.171875,5.171875,608000.0
2000/10/10,,5.1875,5.09375,5.15625,5.15625,609600.0
2000/10/11,5.125,5.234375,5.109375,5.203125,,862400.0
2000/10/12,5.21875,5.453125,5.21875,5.265625,5.265625,1015600.0
2000/10/13,5.234375,5.609375,5.203125,5.59375,5.59375,1256400.0
2000/10/16,5.59375,5.703125,5.46875,5.515625,5.515625,
2000/10/17,5.515625,5.6875,5.46875,5.6875,5.6875,807600.0
2000/10/18,5.5625,5.734375,,5.734375,5.734375,741600.0
2000/10/19,5.71875,5.859375,5.671875,5.859375,5.859375,537200.0
2000/10/20,5.859375,5.859375,5.71875,5.8125,5.8125,471600.0
2000/10/23,5.8125,5.921875,5.78125,5.921875,5.921875,688400.0
2000/10/24,,6.125,5.796875,6.046875,6.046875,1127600.0
2000/10/25,6.03125,6.125,5.859375,,5.96875,1634000.0
2000/10/26,5.9375,6.0,,5.828125,5.828125,519200.0
2000/10/27,5.828125,5.875,5.75,5.75,5.75,262000.0
2000/10/30,,5.75,5.578125,5.734375,5.734375,991600.0
2000/10/31,3.8125,4.0,3.34375,3.359375,3.359375,17944400.0
2000/11/1,,3.390625,,3.25,3.25,19073200.0
2000/11/2,,3.5625,3.265625,3.546875,3.546875,3819600.0
2000/11/3,3.515625,3.796875,3.5,3.796875,3.796875,2175200.0
2000/11/6,3.828125,3.828125,,3.75,3.75,2453200.0
2000/11/7,3.75,3.921875,3.625,,,2404400.0
2000/11/8,3.84375,3.875,3.703125,3.859375,3.859375,1165200.0
2000/11/9,3.84375,,,3.796875,3.796875,772800.0
2000/11/10,3.796875,3.796875,3.609375,3.671875,3.671875,1893600.0
2000/11/13,3.625,3.671875,,3.578125,3.578125,899200.0
2000/11/14,3.59375,3.625,3.46875,3.484375,3.484375,777600.0
2000/11/15,3.515625,3.625,3.453125,3.546875,3.546875,546800.0
2000/11/16,,3.65625,3.53125,3.5625,3.5625,1607600.0
2000/11/17,3.609375,3.609375,3.390625,3.546875,3.546875,1190000.0
2000/11/20,3.578125,3.578125,3.390625,3.4375,3.4375,530800.0
2000/11/21,3.4375,3.78125,3.421875,3.734375,,1920800.0
2000/11/22,3.703125,3.90625,3.671875,3.90625,3.90625,1391600.0
2000/11/24,3.859375,4.0,3.8125,4.0,4.0,835600.0
2000/11/27,3.96875,4.0,3.921875,3.984375,3.984375,1556000.0
2000/11/28,3.984375,4.0625,3.9375,4.015625,,2024800.0
2000/11/29,4.015625,4.09375,3.96875,4.03125,4.03125,
2000/11/30,4.03125,4.0625,3.859375,4.015625,4.015625,
2000/12/1,4.0,4.109375,4.0,4.109375,,637200.0
2000/12/4,4.078125,4.078125,3.96875,3.96875,3.96875,988800.0
2000/12/5,3.96875,4.125,3.96875,,4.078125,743600.0
2000/12/6,4.03125,4.109375,3.9375,3.96875,3.96875,1084400.0
2000/12/7,4.0,,3.96875,4.015625,4.015625,702000.0
2000/12/8,4.03125,4.21875,3.96875,4.21875,4.21875,1495200.0
2000/12/11,4.1875,4.21875,,4.140625,4.140625,997600.0
2000/12/12,,4.15625,4.0,4.0,4.0,690400.0
2000/12/13,3.96875,4.03125,3.9375,3.953125,3.953125,746800.0
2000/12/14,4.0,4.0,3.75,3.765625,,856000.0
2000/12/15,3.71875,3.953125,3.6875,3.953125,3.953125,1132000.0
2000/12/18,3.96875,3.96875,3.84375,3.9375,3.9375,784000.0
2000/12/19,3.890625,4.25,3.875,,4.203125,4110800.0
2000/12/20,4.15625,4.171875,4.109375,4.125,4.125,774400.0
2000/12/21,4.125,4.1875,4.09375,4.140625,4.140625,595200.0
2000/12/22,4.15625,4.203125,4.125,4.1875,4.1875,552400.0
2000/12/26,4.1875,4.1875,4.125,4.15625,4.15625,830000.0
2000/12/27,4.15625,,4.125,4.203125,4.203125,1311200.0
2000/12/28,4.1875,4.421875,4.1875,4.34375,4.34375,1839600.0
2000/12/29,4.359375,4.53125,4.328125,,,2984400.0
2001/1/2,4.4375,4.4375,4.328125,4.34375,4.34375,928000.0
2001/1/3,,4.671875,4.3125,4.578125,4.578125,1235600.0
2001/1/4,4.546875,4.609375,4.46875,4.5625,4.5625,486400.0
2001/1/5,4.5,4.5,4.1875,4.21875,4.21875,2196000.0
2001/1/8,4.25,4.265625,4.21875,4.25,4.25,599600.0
2001/1/9,4.28125,4.46875,4.28125,4.359375,,1112400.0
2001/1/10,4.4375,4.59375,,4.5,4.5,1228000.0
2001/1/11,4.453125,4.5,4.4375,4.453125,4.453125,288400.0
2001/1/12,4.40625,,4.390625,4.484375,4.484375,788000.0
2001/1/16,4.484375,4.5,4.359375,4.5,,2159200.0
2001/1/17,,4.5625,4.4375,4.484375,4.484375,1713200.0
2001/1/18,4.453125,4.59375,4.453125,4.5625,4.5625,668400.0
2001/1/19,4.5625,4.5625,4.34375,4.390625,4.390625,1036400.0
2001/1/22,,4.46875,,4.46875,4.46875,
2001/1/23,4.484375,4.5,4.296875,4.4375,4.4375,987600.0
2001/1/24,,4.5,4.390625,4.5,4.5,1004800.0
2001/1/25,4.46875,4.59375,4.4375,4.46875,4.46875,264400.0
2001/1/26,4.484375,4.5,4.34375,4.34375,4.34375,400000.0
2001/1/29,4.3425,4.57,4.3,4.5675,4.5675,462400.0
2001/1/30,,4.625,4.5025,4.6,4.6,477200.0
2001/1/31,4.5975,4.65,4.55,,4.5625,940400.0
2001/2/1,4.5375,4.65,4.5325,4.6125,4.6125,816000.0
2001/2/2,,4.625,4.4875,,4.625,723200.0
2001/2/5,4.6,4.6,4.4825,4.485,4.485,527200.0
2001/2/6,4.5,4.5,4.285,4.3175,4.3175,557200.0
2001/2/7,4.5,4.8,4.5,4.625,4.625,1782800.0
2001/2/8,,4.8125,,4.735,4.735,404800.0
2001/2/9,4.8125,4.925,4.7925,4.8625,4.8625,1292800.0
2001/2/12,4.875,5.42,4.875,5.375,5.375,1359600.0
2001/2/13,5.25,5.3625,5.0,5.035,5.035,690000.0
2001/2/14,5.0125,5.0875,5.0,5.05,5.05,348000.0
2001/2/15,5.025,5.25,5.0025,5.25,5.25,
2001/2/16,5.225,5.225,5.0125,5.1575,5.1575,
2001/2/20,5.1575,5.25,5.125,5.19,5.19,389200.0
2001/2/21,5.165,5.2175,5.13,5.2,5.2,311600.0
2001/2/22,5.15,5.35,5.11,5.32,5.32,716800.0
2001/2/23,5.315,5.315,,5.15,5.15,446800.0
2001/2/26,5.15,5.25,5.1175,5.25,5.25,469200.0
2001/2/27,5.2375,5.6875,5.1325,5.4375,5.4375,
2001/2/28,5.5,5.5,5.225,,5.2375,447200.0
2001/3/1,5.275,5.3625,5.25,5.3075,5.3075,697200.0
2001/3/2,5.3075,,5.0,5.0625,,742800.0
2001/3/5,,5.1,4.9625,4.995,,477200.0
2001/3/6,4.995,5.0575,4.9875,4.995,4.995,1457600.0
2001/3/7,4.9375,4.96,4.725,4.775,4.775,1751200.0
2001/3/8,4.8,4.92,4.8,4.8375,4.8375,538400.0
2001/3/9,,,4.7575,4.785,4.785,511200.0
2001/3/12,4.775,4.825,4.7625,4.7875,4.7875,481200.0
2001/3/13,4.7875,4.9625,4.755,4.9625,,502800.0
2001/3/14,4.9,5.0,4.825,,4.965,745600.0
2001/3/15,4.99,4.99,4.88,4.88,4.88,827200.0
2001/3/16,4.875,4.8775,4.8375,4.85,,885200.0
2001/3/19,4.85,4.85,4.75,4.8,4.8,328000.0
2001/3/20,4.8,4.825,4.66,4.66,4.66,1427200.0
2001/3/21,4.625,4.6475,4.5875,4.62,4.62,706000.0
2001/3/22,4.6,4.6,4.35,4.5,4.5,1355600.0
2001/3/23,4.475,4.55,4.425,4.45,4.45,706400.0
2001/3/26,4.45,4.55,4.45,,4.475,410800.0
2001/3/27,4.5,,4.4875,4.6175,,
2001/3/28,4.6075,4.6075,4.465,,4.485,975600.0
2001/3/29,,4.9875,4.5,4.8775,4.8775,622400.0
2001/3/30,4.8625,4.9875,4.775,,4.9,939200.0
2001/4/2,4.85,4.9875,4.8425,4.8525,4.8525,658400.0
2001/4/3,4.825,4.83,4.6,4.6,4.6,879200.0
2001/4/4,4.65,4.7125,4.5925,4.7125,4.7125,798000.0
2001/4/5,4.7,4.8925,4.6775,,4.775,3368400.0
2001/4/6,4.775,4.95,4.7625,4.875,4.875,2316000.0
2001/4/9,4.85,4.975,4.785,4.8375,4.8375,
2001/4/10,4.775,4.8875,4.725,4.7825,,582800.0
2001/4/11,,4.9,,,4.6025,
2001/4/12,4.5625,4.63,4.5325,,,628400.0
2001/4/16,4.65,4.7075,4.5575,4.6625,4.6625,646400.0
2001/4/17,4.665,4.815,4.65,4.775,4.775,582800.0
2001/4/18,4.75,,4.6875,4.75,4.75,1514000.0
2001/4/19,,5.255,4.7375,5.0,5.0,2932000.0
2001/4/20,4.9375,5.0,4.9125,4.995,4.995,1032400.0
2001/4/23,5.0275,5.0275,4.9875,5.0,5.0,
2001/4/24,,5.0125,4.95,4.9875,4.9875,738000.0
2001/4/25,5.0,5.0,4.9125,,4.94,591600.0
2001/4/26,4.9875,5.05,4.9075,4.91,4.91,
2001/4/27,5.0,5.525,5.0,5.525,5.525,1667600.0
2001/4/30,5.5125,5.8,5.35,5.4125,5.4125,2452000.0
2001/5/1,5.475,5.6,5.475,5.6,5.6,1768400.0
2001/5/2,5.5975,5.5975,5.505,5.525,5.525,730000.0
2001/5/3,5.555,5.6275,5.52,5.5475,5.5475,680800.0
2001/5/4,,5.7625,5.5125,5.7625,5.7625,749600.0
2001/5/7,5.7625,,5.615,5.615,5.615,1848000.0
2001/5/8,5.6525,5.75,5.65,5.6975,5.6975,1064400.0
2001/5/9,5.6975,,,5.6275,5.6275,
2001/5/10,5.6375,5.65,5.6,5.6225,,2102000.0
2001/5/11,5.6225,5.6875,5.515,5.575,5.575,2115200.0
2001/5/14,5.6,5.775,5.6,5.7425,5.7425,2647600.0
2001/5/15,5.75,,5.7375,5.8375,5.8375,631600.0
2001/5/16,5.8125,5.94,5.8025,5.94,5.94,
2001/5/17,5.925,6.0,5.9,6.0,6.0,1220800.0
2001/5/18,5.9375,,5.875,5.955,5.955,
2001/5/21,5.9575,6.1,5.9,6.0,6.0,1394000.0
2001/5/22,6.0,6.0275,5.7625,5.7625,5.7625,904400.0
2001/5/23,,5.96,,5.8825,,671200.0
2001/5/24,,5.9125,,5.75,5.75,507600.0
2001/5/25,5.8,5.8,5.5375,5.645,5.645,882000.0
2001/5/29,,5.675,5.525,5.595,5.595,1047200.0
2001/5/30,,5.825,5.5,5.5,5.5,684800.0
2001/5/31,5.5625,5.8375,5.5625,5.7925,5.7925,1158000.0
2001/6/1,5.9425,5.975,5.815,,5.965,
2001/6/4,5.965,6.0375,5.9275,6.0175,6.0175,867600.0
2001/6/5,6.08,6.25,6.08,6.1625,6.1625,
2001/6/6,6.1875,6.3025,,6.25,6.25,1427600.0
2001/6/7,6.25,6.345,6.2275,6.2925,6.2925,2235200.0
2001/6/8,6.25,6.29,6.2,6.2625,,1014800.0
2001/6/11,6.2375,6.325,6.16,6.2,6.2,1052400.0
2001/6/12,6.2,6.2,,6.115,6.115,1103600.0
2001/6/13,6.1475,6.245,,6.095,6.095,654800.0
2001/6/14,6.07,6.07,5.9475,5.995,5.995,526400.0
2001/6/15,5.9325,5.9975,5.8875,5.97,5.97,651200.0
2001/6/18,5.97,6.075,,6.0075,6.0075,634400.0
2001/6/19,6.0,6.04,6.0,6.03,6.03,541600.0
2001/6/20,6.0325,,6.0325,6.135,6.135,
2001/6/21,6.135,6.22,6.105,6.165,6.165,309600.0
2001/6/22,6.2275,6.2425,6.0625,6.175,6.175,930000.0
2001/6/25,6.1125,6.2175,6.1,6.1725,6.1725,1610400.0
2001/6/26,6.1375,6.3,6.1375,6.27,6.27,
2001/6/27,6.27,6.6125,6.27,,,1223600.0
2001/6/28,6.3125,6.425,6.2875,6.375,6.375,614800.0
2001/6/29,6.375,6.6,6.2875,6.59,6.59,
2001/7/2,6.59,6.775,6.5125,6.575,6.575,1291600.0
2001/7/3,6.5875,,6.5625,6.5625,6.5625,226000.0
2001/7/5,6.5625,6.8125,6.5,6.535,6.535,690800.0
2001/7/6,6.535,6.535,6.37,6.37,,246400.0
2001/7/9,6.4325,6.6125,6.375,,6.6075,
2001/7/10,6.6,,6.52,6.655,6.655,648400.0
2001/7/11,6.68,6.695,6.525,6.66,6.66,572400.0
2001/7/12,,6.75,,6.74,6.74,586400.0
2001/7/13,6.74,7.0,6.74,6.945,6.945,1958400.0
2001/7/16,6.9125,6.925,6.5,6.535,6.535,624800.0
2001/7/17,,6.675,6.5125,6.57,,779600.0
2001/7/18,6.57,6.57,6.3875,6.4675,6.4675,650800.0
2001/7/19,6.4675,6.4725,5.985,,6.0125,1647200.0
2001/7/20,,6.0,5.375,5.7875,5.7875,3481600.0
2001/7/23,5.7875,5.8,5.7,5.76,5.76,2436800.0
2001/7/24,5.7675,6.0,5.7625,5.97,,1121200.0
2001/7/25,5.95,5.9525,5.85,5.8625,5.8625,776400.0
2001/7/26,5.8375,6.0325,5.775,6.0275,6.0275,1280400.0
2001/7/27,6.1875,6.4,5.9375,6.25,6.25,
2001/7/30,6.25,,6.175,6.2125,6.2125,1294000.0
2001/7/31,6.2125,6.25,6.1125,6.195,6.195,896400.0
2001/8/1,6.2375,6.275,,6.225,6.225,1061600.0
2001/8/2,6.3125,6.3125,6.0,6.0225,,776000.0
2001/8/3,6.025,6.0875,,5.9875,5.9875,642000.0
2001/8/6,5.9875,,5.975,6.07,,1097200.0
2001/8/7,6.05,6.175,6.05,6.095,,1038800.0
2001/8/8,6.095,6.205,6.0875,6.0875,6.0875,1262000.0
2001/8/9,6.0375,6.0625,5.9275,5.995,5.995,476800.0
2001/8/10,5.9875,,5.925,5.9625,,1051200.0
2001/8/13,6.0,6.13,6.0,6.0375,6.0375,
2001/8/14,6.0625,6.265,6.0575,6.265,,511600.0
2001/8/15,6.265,,6.265,6.3075,6.3075,712000.0
2001/8/16,6.2825,6.405,6.2125,6.245,6.245,416000.0
2001/8/17,6.2125,6.385,6.2125,6.3625,,454800.0
2001/8/20,,6.505,6.25,,6.505,660000.0
2001/8/21,6.505,6.505,6.275,6.32,6.32,771200.0
2001/8/22,6.4,6.475,,6.3875,6.3875,396800.0
2001/8/23,6.425,,6.3125,6.4975,6.4975,602800.0
2001/8/24,6.475,6.475,6.33,6.4375,6.4375,474800.0
2001/8/27,,6.5125,6.3125,6.4125,6.4125,494400.0
2001/8/28,6.4,6.425,6.285,6.285,6.285,
2001/8/29,6.3125,6.55,6.2975,6.525,6.525,766800.0
2001/8/30,6.5,6.625,6.4875,6.57,6.57,824400.0
2001/8/31,6.54,6.65,6.5075,6.5725,6.5725,558000.0
2001/9/4,6.5625,,6.475,6.5,6.5,878400.0
2001/9/5,6.5,6.525,6.4875,,6.505,1026800.0
2001/9/6,6.5025,6.525,6.4625,6.5,6.5,952400.0
2001/9/7,6.5025,6.525,6.3625,6.515,6.515,640400.0
2001/9/10,,6.55,6.3875,,,
2001/9/17,6.1625,,6.075,6.205,6.205,1071200.0
2001/9/18,6.205,,5.925,5.9375,5.9375,850000.0
2001/9/19,6.0,6.0,5.75,5.815,5.815,938400.0
2001/9/20,5.7525,5.7525,5.4125,5.5075,,770800.0
2001/9/21,5.425,5.5,,5.4125,,1150400.0
2001/9/24,5.375,5.4625,5.1,5.25,5.25,1494000.0
2001/9/25,,,5.2,5.28,5.28,890000.0
2001/9/26,5.3425,5.55,5.325,5.5125,5.5125,
2001/9/27,5.5,5.625,5.275,5.58,,1117200.0
2001/9/28,5.625,5.9875,5.6,5.6,5.6,879600.0
2001/10/1,5.65,5.925,5.65,5.8175,5.8175,994800.0
2001/10/2,5.8375,6.0,5.8375,5.965,5.965,
2001/10/3,5.9625,6.0625,5.7675,5.8125,5.8125,951600.0
2001/10/4,5.8375,6.075,5.8375,6.0325,6.0325,604800.0
2001/10/5,,6.1475,5.8425,6.0625,6.0625,876000.0
2001/10/8,6.05,6.125,6.025,6.1025,6.1025,963600.0
2001/10/9,6.05,6.0875,5.95,6.0375,6.0375,974000.0
2001/10/10,6.05,6.2,5.925,6.075,6.075,1755600.0
2001/10/11,6.0825,6.2375,6.0825,6.175,6.175,843600.0
2001/10/12,6.2125,6.2125,6.0375,6.1225,6.1225,
2001/10/15,6.1225,,,6.0225,,
2001/10/16,6.0225,6.175,,6.175,6.175,1093600.0
2001/10/17,6.175,6.2875,,6.1625,6.1625,1020800.0
2001/10/18,6.15,6.2775,6.08,6.27,6.27,988800.0
2001/10/19,6.275,6.6,6.2675,,6.565,944400.0
2001/10/22,6.565,6.625,6.45,6.505,6.505,605600.0
2001/10/23,,6.6625,6.475,6.5875,6.5875,866000.0
2001/10/24,6.5875,,6.5125,6.575,6.575,728800.0
2001/10/25,6.55,,6.49,6.725,6.725,735200.0
2001/10/26,6.725,6.725,6.35,6.49,,1451600.0
2001/10/29,6.4375,6.4375,6.155,6.1625,6.1625,1157200.0
2001/10/30,6.2,6.2875,6.14,6.275,,
2001/10/31,6.3,6.4475,6.275,6.35,6.35,983200.0
2001/11/1,6.3525,6.4875,6.3525,,6.4875,1248400.0
2001/11/2,6.4875,6.5625,6.42,6.555,6.555,550000.0
2001/11/5,,6.6,6.47,,6.47,
2001/11/6,6.45,6.4525,,6.425,6.425,1154000.0
2001/11/7,6.375,6.4,,,6.2625,
2001/11/8,6.2625,6.3125,6.25,6.2625,,738400.0
2001/11/9,6.275,6.325,6.27,6.315,6.315,672000.0
2001/11/12,,6.375,6.2925,6.35,6.35,638800.0
2001/11/13,6.3375,6.375,6.05,6.23,6.23,1015600.0
2001/11/14,6.23,6.23,6.05,6.07,6.07,1244000.0
2001/11/15,6.0075,6.03,5.9,5.9225,5.9225,963200.0
2001/11/16,5.925,5.93,5.815,5.8525,,754000.0
2001/11/19,,5.8625,5.7625,5.8375,5.8375,943200.0
2001/11/20,5.8625,,5.8625,6.1,6.1,1491200.0
2001/11/21,6.1,6.2925,6.1,6.25,6.25,594400.0
2001/11/23,6.225,6.3,6.2125,,6.3,308800.0
2001/11/26,6.3,6.46,6.3,,6.425,541200.0
2001/11/27,6.425,6.43,6.1775,6.225,6.225,713600.0
2001/11/28,6.225,6.27,6.2125,6.235,6.235,
2001/11/29,6.225,6.4325,6.225,6.4325,6.4325,426400.0
